"Bike_Demoed__c","Bike_Sold__c","Campaign__c","Event__c","Lead_Number__c"
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",62
"Monster 797","Monster 797","Demo Day","Demo Event",63
"Monster 797","Monster 797","Demo Day","Demo Event",64
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",65
"The Scrambler","The Scrambler","Demo Day","Demo Event",66
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",67
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",68
"The Scrambler","Monster 797","Demo Day","Demo Event",69
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",70
"Monster 797","The Scrambler","Demo Day","Demo Event",71
"Monster 797","The Scrambler","Demo Day","Demo Event",72
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",73
"The Scrambler","Monster 797","Demo Day","Demo Event",74
"The Scrambler","The Scrambler","Demo Day","Demo Event",75
"Multistrada 1200 S","Multistrada 1200 S","Demo Day","Demo Event",76
"Monster 797","Monster 797","Demo Day","Demo Event",77
"The Scrambler","Monster 797","Demo Day","Demo Event",78
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",79
"Monster 797","Monster 797","Demo Day","Demo Event",80
"Monster 797","The Scrambler","Demo Day","Demo Event",81
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",82
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",83
"The Scrambler","Monster 797","Demo Day","Demo Event",84
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",85
"Monster 797","The Scrambler","Demo Day","Demo Event",86
"Monster 797","The Scrambler","Demo Day","Demo Event",87
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",88
"The Scrambler","Monster 797","Demo Day","Demo Event",89
"The Scrambler","The Scrambler","Demo Day","Demo Event",90
"Multistrada 1200 S","Multistrada 1200 S","Demo Day","Demo Event",91
"Monster 797","Monster 797","Demo Day","Demo Event",92
"The Scrambler","Monster 797","Demo Day","Demo Event",93
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",94
"Monster 797","The Scrambler","Demo Day","Demo Event",95
"Monster 797","The Scrambler","Demo Day","Demo Event",96
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",97
"Monster 797","Monster 797","Demo Day","Demo Event",98
"The Scrambler","The Scrambler","Demo Day","Demo Event",99
,"Monster 797","Trade Show","Training Event",956
,"Multistrada 1200 S","Trade Show","Training Event",957
,"Monster 797","Trade Show","Training Event",958
,"The Scrambler","Trade Show","Training Event",959
,"Multistrada 1200 S","Trade Show","Training Event",960
,"The Scrambler","Trade Show","Training Event",961
,"The Scrambler","Trade Show","Training Event",962
,"Multistrada 1200 S","Trade Show","Training Event",963
,"Monster 797","Trade Show","Training Event",964
,"The Scrambler","Trade Show","Training Event",965
,"Multistrada 1200 S","Trade Show","Training Event",966
,"Monster 797","Trade Show","Training Event",967
,"Monster 797","Trade Show","Training Event",968
,"Monster 797","Trade Show","Training Event",969
,"Monster 797","Trade Show","Training Event",970
,"The Scrambler","Trade Show","Training Event",971
,"Multistrada 1200 S","Trade Show","Training Event",972
,"Monster 797","Trade Show","Training Event",973
,"Monster 797","Trade Show","Training Event",974
,"Monster 797","Trade Show","Training Event",975
,"The Scrambler","Trade Show","Training Event",976
,"The Scrambler","Trade Show","Training Event",977
,"Multistrada 1200 S","Trade Show","Training Event",978
,"Monster 797","Trade Show","Training Event",979
,"The Scrambler","Trade Show","Training Event",980
,"Multistrada 1200 S","Trade Show","Training Event",981
,"Monster 797","Trade Show","Training Event",982
,"Monster 797","Trade Show","Training Event",983
,"Monster 797","Trade Show","Training Event",984
,"The Scrambler","Trade Show","Training Event",985
,"The Scrambler","Trade Show","Training Event",986
,,"Training",,1369
,,"Training",,1370
,,"Training",,1371
,,"Training",,1372
,,"Training",,1373
,,"Training",,1374
,,"Training",,1375
,,"Training",,1376
,,"Training",,1377
,,"Training",,1378
,,"Training",,1379
,,"Training",,1380
,,"Training",,1381
,,"Training",,1382
,,"Training",,1383
,,"Training",,1384
,,"Training",,1385
,,"Training",,1386
,,"Training",,1387
,,"Training",,1388
,,"Training",,1389
,,"Training",,1390
,,"Training",,1391
,,"Training",,1392
,,"Training",,1393
,,"Training",,1394
,,"Training",,1395
,,"Training",,1396
,,"Training",,1397
,,"Training",,1398
,,"Training",,1399
,,"Training",,1400
,,"Training",,1401
,,"Training",,1402
,,"Training",,1403
,,"Training",,1404
,,"Training",,1405
,,"Training",,1406
,,"Training",,1407
,,"Training",,1408
,,"Training",,1409
,,"Training",,1410
,,"Training",,1411
,,"Training",,1412
,,"Digital Advertising",,581
,,"Digital Advertising",,582
,,"Digital Advertising",,583
,,"Digital Advertising",,584
,,"Digital Advertising",,585
,,"Digital Advertising",,586
,,"Digital Advertising",,587
,,"Digital Advertising",,588
,,"Digital Advertising",,589
,,"Digital Advertising",,590
,,"Digital Advertising",,591
,,"Digital Advertising",,592
,,"Digital Advertising",,593
,,"Digital Advertising",,594
,,"Digital Advertising",,595
,,"Digital Advertising",,596
,,"Digital Advertising",,597
,,"Digital Advertising",,598
,,"Digital Advertising",,599
,,"Digital Advertising",,600
,,"Digital Advertising",,601
,,"Digital Advertising",,602
,,"Digital Advertising",,603
,,"Digital Advertising",,604
,,"Digital Advertising",,605
,,"Digital Advertising",,606
,,"Digital Advertising",,607
,,"Digital Advertising",,608
,,"Digital Advertising",,609
,,"Digital Advertising",,610
,,"Digital Advertising",,611
,,"Digital Advertising",,612
,,"Digital Advertising",,613
,,"Digital Advertising",,614
,,"Digital Advertising",,615
,,"Digital Advertising",,616
,,"Digital Advertising",,617
"Multistrada 1200 S","Multistrada 1200 S","Demo Day","Demo Event",100
"Monster 797","Monster 797","Demo Day","Demo Event",101
"Monster 797","Monster 797","Demo Day","Demo Event",102
"Monster 797","Monster 797","Demo Day","Demo Event",103
"The Scrambler","The Scrambler","Demo Day","Demo Event",104
"The Scrambler","The Scrambler","Demo Day","Demo Event",105
"Multistrada 1200 S","Multistrada 1200 S","Demo Day","Demo Event",106
"Monster 797","The Scrambler","Demo Day","Demo Event",107
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",108
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",109
"Monster 797","Monster 797","Demo Day","Demo Event",110
"Monster 797","Monster 797","Demo Day","Demo Event",111
"Monster 797","The Scrambler","Demo Day","Demo Event",112
"The Scrambler","The Scrambler","Demo Day","Demo Event",113
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",114
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",115
"Monster 797","The Scrambler","Demo Day","Demo Event",116
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",117
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",118
"Monster 797","Monster 797","Demo Day","Demo Event",119
"Monster 797","Monster 797","Demo Day","Demo Event",120
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",121
"The Scrambler","The Scrambler","Demo Day","Demo Event",122
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",123
